mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006485128402709961,0.002002782301715676,0.0019515514373779296,0.0007455631542919823,5,3,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 3}",0.9380530973451328,0.954954954954955,0.9401709401709402,0.9491525423728814,0.9655172413793104,0.949569755244644,0.010044579538036738,3
0.005771017074584961,0.002216814207912065,0.0023933887481689454,0.0009879684532934682,5,5,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 5}",0.9473684210526315,0.954954954954955,0.9482758620689655,0.9256198347107438,0.9739130434782609,0.9500264232531114,0.015496270873666482,2
0.004233360290527344,0.000526465323080694,0.002444553375244141,0.0009947553595934535,5,10,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 10}",0.9285714285714286,0.9464285714285714,0.9137931034482759,0.9107142857142857,0.972972972972973,0.9344960724271069,0.023031040430886347,17
0.006879568099975586,0.0019408230793035606,0.0023992061614990234,0.0009616647597682752,6,1,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 1}",0.9380530973451328,0.954954954954955,0.9230769230769231,0.9137931034482759,0.9454545454545454,0.9350665248559664,0.014890864637092929,16
0.005232667922973633,0.0013485453716476008,0.0018872261047363282,0.0008280264085275344,6,3,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 3}",0.9380530973451328,0.954954954954955,0.9401709401709402,0.9491525423728814,0.9655172413793104,0.949569755244644,0.010044579538036738,3
0.005873250961303711,0.001475343432949096,0.0013758182525634766,0.00019528153106916288,6,5,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 5}",0.9473684210526315,0.954954954954955,0.9482758620689655,0.9256198347107438,0.9655172413793104,0.9483472628333212,0.013084104683253836,7
0.004583835601806641,0.0006345919203185747,0.002191162109375,0.00110707314546269,6,10,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 10}",0.9285714285714286,0.9464285714285714,0.9137931034482759,0.9107142857142857,0.972972972972973,0.9344960724271069,0.023031040430886347,17
0.007355213165283203,0.0033375564948008854,0.002022123336791992,0.0009350680210213177,8,1,"{'classifier__max_depth': 8, 'classifier__min_samples_leaf': 1}",0.9285714285714286,0.918918918918919,0.9230769230769231,0.9137931034482759,0.9565217391304348,0.9281764226291962,0.014981315953810253,27
0.005943822860717774,0.002344568082314277,0.0013558387756347657,0.0002037413859880788,8,3,"{'classifier__max_depth': 8, 'classifier__min_samples_leaf': 3}",0.9380530973451328,0.954954954954955,0.9401709401709402,0.9491525423728814,0.9655172413793104,0.949569755244644,0.010044579538036738,3
0.005823707580566407,0.0010881012989043541,0.002369117736816406,0.0009423967940091355,8,5,"{'classifier__max_depth': 8, 'classifier__min_samples_leaf': 5}",0.9473684210526315,0.954954954954955,0.9482758620689655,0.9256198347107438,0.9655172413793104,0.9483472628333212,0.013084104683253836,7
0.005528450012207031,0.0014688564993722269,0.0013231277465820313,7.752111081345968e-05,8,10,"{'classifier__max_depth': 8, 'classifier__min_samples_leaf': 10}",0.9285714285714286,0.9464285714285714,0.9137931034482759,0.9107142857142857,0.972972972972973,0.9344960724271069,0.023031040430886347,17
0.007410955429077148,0.0033043860219395976,0.002063465118408203,0.0006097626713643352,,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1}",0.9285714285714286,0.918918918918919,0.9230769230769231,0.9137931034482759,0.9565217391304348,0.9281764226291962,0.014981315953810253,27
0.005156946182250976,0.0008351641641706352,0.0017091751098632813,0.0006765946330249364,,3,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 3}",0.9380530973451328,0.954954954954955,0.9401709401709402,0.9491525423728814,0.9655172413793104,0.949569755244644,0.010044579538036738,3
0.006106185913085938,0.001832022922543394,0.002050161361694336,0.0008851215172784204,,5,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5}",0.9473684210526315,0.954954954954955,0.9482758620689655,0.9256198347107438,0.9655172413793104,0.9483472628333212,0.013084104683253836,7
0.004776477813720703,0.0012320063627858102,0.001642608642578125,0.00037970664766569527,,10,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}",0.9285714285714286,0.9464285714285714,0.9137931034482759,0.9107142857142857,0.972972972972973,0.9344960724271069,0.023031040430886347,17
